Series Id,Year,Period,Value
CUUR0000SA0,2001,M01,175.1
CUUR0000SA0,2001,M02,175.8
CUUR0000SA0,2001,M03,176.2
CUUR0000SA0,2001,M04,176.9
CUUR0000SA0,2001,M05,177.7
CUUR0000SA0,2001,M06,178.0
CUUR0000SA0,2001,M07,177.5
CUUR0000SA0,2001,M08,177.5
CUUR0000SA0,2001,M09,178.3
CUUR0000SA0,2001,M10,177.7
CUUR0000SA0,2001,M11,177.4
CUUR0000SA0,2001,M12,176.7
CUUS0000SA0,2001,S01,176.6
CUUS0000SA0,2001,S02,177.5
CUUR0000SA0,2002,M01,177.1
CUUR0000SA0,2002,M02,177.8
CUUR0000SA0,2002,M03,178.8
CUUR0000SA0,2002,M04,179.8
CUUR0000SA0,2002,M05,179.8
CUUR0000SA0,2002,M06,179.9
CUUR0000SA0,2002,M07,180.1
CUUR0000SA0,2002,M08,180.7
CUUR0000SA0,2002,M09,181.0
CUUR0000SA0,2002,M10,181.3
CUUR0000SA0,2002,M11,181.3
CUUR0000SA0,2002,M12,180.9
CUUS0000SA0,2002,S01,178.9
CUUS0000SA0,2002,S02,180.9
CUUR0000SA0,2003,M01,181.7
CUUR0000SA0,2003,M02,183.1
CUUR0000SA0,2003,M03,184.2
CUUR0000SA0,2003,M04,183.8
CUUR0000SA0,2003,M05,183.5
CUUR0000SA0,2003,M06,183.7
CUUR0000SA0,2003,M07,183.9
CUUR0000SA0,2003,M08,184.6
CUUR0000SA0,2003,M09,185.2
CUUR0000SA0,2003,M10,185.0
CUUR0000SA0,2003,M11,184.5
CUUR0000SA0,2003,M12,184.3
CUUS0000SA0,2003,S01,183.3
CUUS0000SA0,2003,S02,184.6
CUUR0000SA0,2004,M01,185.2
CUUR0000SA0,2004,M02,186.2
CUUR0000SA0,2004,M03,187.4
CUUR0000SA0,2004,M04,188.0
CUUR0000SA0,2004,M05,189.1
CUUR0000SA0,2004,M06,189.7
CUUR0000SA0,2004,M07,189.4
CUUR0000SA0,2004,M08,189.5
